id_nombre,grado,cercania,intermediacion,es_terminal,prediccion,resultado
9109 - Tercer Milenio,1,2.073481134182508e-05,0.0,1,1,Correcto
6108 - Concejo de Bogotá,2,2.4037896409538246e-05,0.0020224305938591654,0,0,Correcto
7007 - NQS - Calle 38A S,2,2.8578322628652763e-05,0.0029417172274315132,0,0,Correcto
7104 - 7 de Agosto,2,2.515600353350877e-05,0.0019305019305019305,0,0,Correcto
4104 - AV. 68,2,3.69012954738384e-05,0.0029417172274315132,0,0,Correcto
5107 - Distrito Grafiti,2,3.27082441165026e-05,0.005791505791505792,0,0,Correcto
4108 - Polo - FINCOMERCIO,1,2.056297997274931e-05,0.0,1,1,Correcto
7200 - Tygua - San José,1,8.052902507584242e-06,0.0,1,1,Correcto
6105 - Quinta Paredes,2,3.2138437712589986e-05,0.0036771465342893914,0,0,Correcto
6102 - Salitre - El Greco,2,3.245445659346555e-05,0.0036771465342893914,0,0,Correcto
12007 - Zona Industrial,2,2.8564595064002955e-05,0.00441257584114727,0,0,Correcto
7505 - León XIII,2,2.0680865020794115e-05,0.00018385732671446958,0,0,Correcto
7110 - Paloquemao,2,1.769281368589462e-05,0.0008273579702151131,0,0,Correcto
4002 - Carrera 90,2,2.9661420598065666e-05,0.0018385732671446957,0,0,Correcto
6104 - Gobernación,2,3.345632581298318e-05,0.003861003861003861,0,0,Correcto
7504 - Terreros - Hospital Cardio Vascular,2,2.0680865020794115e-05,0.00018385732671446958,0,0,Correcto
4107 - Escuela Militar,2,2.5614747137697195e-05,0.0010112152969295827,0,0,Correcto
5101 - Mandalay,2,2.9477366478793363e-05,0.0050560764846479134,0,0,Correcto
4003 - AV. Cali,2,3.3465092510486826e-05,0.002482073910645339,0,0,Correcto
3002 - Suba - TV. 91,2,1.593842006960528e-05,0.0020224305938591654,0,0,Correcto
12003 - Ricaurte - CL 13,2,2.3842664751131792e-05,0.002574002574002574,0,0,Correcto
9104 - Restrepo,2,2.6379257389360564e-05,0.002574002574002574,0,0,Correcto
2201 - Prado,2,3.3313130365011224e-05,0.005791505791505792,0,0,Correcto
2502 - Terminal,1,1.7716950357114505e-05,0.0,1,1,Correcto
2302 - Virrey,2,2.1126268985863792e-05,0.002574002574002574,0,0,Correcto
2101 - Toberin - Foundever,2,2.648186514603595e-05,0.0035852178709321566,0,0,Correcto
2204 - Pepe Sierra,2,2.936167488556834e-05,0.0050560764846479134,0,0,Correcto
2300 - Calle 100 - Marketmedios,2,2.4000832714054138e-05,0.0035852178709321566,0,0,Correcto
2105 - Calle 142,2,3.3378462773136846e-05,0.005791505791505792,0,0,Correcto
2000 - Portal Norte,2,2.285417391801578e-05,0.002574002574002574,0,0,Correcto
2001 - Calle 187,2,1.956198650248428e-05,0.0013789299503585218,0,0,Correcto
2200 - Alcalá – Colegio S. Tomás Dominicos,2,3.3794720845172455e-05,0.0058834344548630265,0,0,Correcto
2104 - Calle 146,2,3.252466450879129e-05,0.005515719801434087,0,0,Correcto
2202 - Calle 127,2,3.130150680184412e-05,0.005515719801434087,0,0,Correcto
2304 - Héroes,1,1.8350298440297352e-05,0.0,1,1,Correcto
2102 - Calle 161,2,2.8354878117532667e-05,0.00441257584114727,0,0,Correcto
2205 - Calle 106 - Explora maletas,2,2.7477581653044168e-05,0.00441257584114727,0,0,Correcto
2103 - Mazurén,2,3.130696445865249e-05,0.0050560764846479134,0,0,Correcto
9117 - Calle 45 - American School Way,2,3.89824078536979e-05,0.003861003861003861,0,0,Correcto
4105 - Carrera 53,2,3.31143284214012e-05,0.002482073910645339,0,0,Correcto
7101 - La Castellana,1,1.5086504116713e-05,0.0,1,1,Correcto
10002 - AV. 1 Mayo,2,2.625966945238035e-05,0.001287001287001287,0,0,Correcto
14001 - De La Sabana,1,1.9114055267023465e-05,0.0,1,1,Correcto
7506 - La Despensa,1,1.4558008480569752e-05,0.0,1,1,Correcto
9122 - Calle 72,2,2.4520476521791907e-05,0.0011031439602868175,0,0,Correcto
6109 - Centro Memoria,2,2.07506024220508e-05,0.0011031439602868175,0,0,Correcto
12001 - Carrera 43 - Comapan,2,2.9980911288629976e-05,0.0050560764846479134,0,0,Correcto
9002 - Consuelo,2,1.963637819845144e-05,0.0016547159404302263,0,0,Correcto
9110 - AV. Jiménez - Caracas,2,2.413816985086996e-05,0.0011031439602868175,0,0,Correcto
7112 - Comuneros,1,1.706972973001876e-05,0.0,1,1,Correcto
9113 - Calle 22,2,3.118668887563098e-05,0.0027578599007170436,0,0,Correcto
6101 - El Tiempo – Cámara de Comercio de Bogotá,2,2.9697124872208677e-05,0.0033094318808604526,0,0,Correcto
5002 - Biblioteca Tintal,2,2.187822667429767e-05,0.002574002574002574,0,0,Correcto
10003 - Ciudad Jardín - UAN,2,2.9876877111588323e-05,0.0016547159404302263,0,0,Correcto
10005 - Bicentenario,2,3.0341008192303945e-05,0.0016547159404302263,0,0,Correcto
9119 - Calle 57,2,3.449756830033362e-05,0.0033094318808604526,0,0,Correcto
8002 - Biblioteca,1,1.6436399495034858e-05,0.0,1,1,Correcto
7108 - AV. ElDorado,2,2.5030961103242933e-05,0.0019305019305019305,0,0,Correcto
9114 - Calle 26,2,3.468333390166737e-05,0.0033094318808604526,0,0,Correcto
7005 - Alquería,2,3.080379065078634e-05,0.0033094318808604526,0,0,Correcto
7010 - Bosa,1,1.5027430734236546e-05,0.0,1,1,Correcto
7109 - CAD,2,2.1345831964612785e-05,0.0014708586137157566,0,0,Correcto
5100 - Banderas,2,2.782294184838492e-05,0.00441257584114727,0,0,Correcto
9111 - Calle 19,2,2.8183453443575014e-05,0.0020224305938591654,0,0,Correcto
14003 - AV. Jiménez - CL 13,1,1.374028913356378e-05,0.0,1,1,Correcto
7105 - Movistar Arena,2,2.764406881713084e-05,0.002206287920573635,0,0,Correcto
9116 - AV. 39,2,3.89824078536979e-05,0.003861003861003861,0,0,Correcto
9123 - Calle 76 - San Felipe,1,2.1537928398159393e-05,0.0,1,1,Correcto
9120 - Calle 63,2,3.10681857534548e-05,0.0027578599007170436,0,0,Correcto
2303 - Calle 85,2,1.9826030818690424e-05,0.0013789299503585218,0,0,Correcto
7008 - NQS - Calle 30 S,2,2.6049061886480065e-05,0.002482073910645339,0,0,Correcto
10001 - Country Sur,1,1.6169302329808348e-05,0.0,1,1,Correcto
4106 - Carrera 47,2,2.8711105775985322e-05,0.0018385732671446957,0,0,Correcto
4000 - Portal 80,1,2.3277100354655515e-05,0.0,1,1,Correcto
9103 - Olaya,2,2.7691164287792666e-05,0.0027578599007170436,0,0,Correcto
9001 - Molinos,2,2.0890603373568958e-05,0.002206287920573635,0,0,Correcto
9106 - Nariño,2,2.2536253114954058e-05,0.0016547159404302263,0,0,Correcto
3004 - Gratamira,2,2.200583773926988e-05,0.0036771465342893914,0,0,Correcto
5105 - Pradera - Plaza Central,2,3.3204504020474475e-05,0.0058834344548630265,0,0,Correcto
10007 - Las Nieves,2,2.1352895331290022e-05,0.0007354293068578783,0,0,Correcto
6001 - Modelia,2,1.9812346060778188e-05,0.0011031439602868175,0,0,Correcto
6000 - Portal El Dorado,1,1.678308044147981e-05,0.0,1,1,Correcto
9121 - Flores – Areandina,2,2.671938309323796e-05,0.0020224305938591654,0,0,Correcto
14004 - Museo del Oro,2,2.1682944706796122e-05,9.192866335723479e-05,0,0,Correcto
7006 - General Santander,2,3.0295160116297086e-05,0.0032175032175032177,0,0,Correcto
10000 - Portal 20 de Julio,2,1.913351070214912e-05,0.0007354293068578783,0,0,Correcto
3007 - Humedal Córdoba,2,2.3578102734424483e-05,0.003861003861003861,0,0,Correcto
8001 - Parque,2,2.5855366824969525e-05,9.192866335723479e-05,0,0,Correcto
10004 - Policarpa,2,3.214198466355705e-05,0.0018385732671446957,0,0,Correcto
10009 - Museo Nacional,0,0.0,0.0,0,0,Correcto
9108 - Hospital,1,1.7063862609998723e-05,0.0,1,1,Correcto
6002 - Normandía,2,2.2966823217425966e-05,0.0020224305938591654,0,0,Correcto
7001 - Perdomo,2,2.1285070280744895e-05,0.0018385732671446957,0,0,Correcto
9107 - Hortúa,2,1.9714582867844926e-05,0.0009192866335723479,0,0,Correcto
9000 - Portal Usme,0,0.0,0.0,0,0,Correcto
4103 - Ferias,2,3.998953637920714e-05,0.0032175032175032177,0,0,Correcto
9118 - Marly,2,3.723814551971339e-05,0.0036771465342893914,0,0,Correcto
5001 - Patio Bonito,2,1.9380819268269847e-05,0.0013789299503585218,0,0,Correcto
8000 - Portal Tunal,1,1.811939065582187e-05,0.0,1,1,Correcto
9105 - Fucha,2,2.5533209025970033e-05,0.002206287920573635,0,0,Correcto
4101 - Minuto de Dios,2,3.968619116542452e-05,0.0032175032175032177,0,0,Correcto
5000 - Portal Américas,1,1.652840700761511e-05,0.0,1,1,Correcto
14005 - Las Aguas - Centro Colombo Americano,1,1.524880276200221e-05,0.0,1,1,Correcto
3000 - Portal Suba,1,1.3593433944470184e-05,0.0,1,1,Correcto
3005 - Suba - AV. Boyacá,2,2.0905252708493865e-05,0.0033094318808604526,0,0,Correcto
9004 - Santa Lucía,2,1.5975537360135527e-05,0.0009192866335723479,0,0,Correcto
3014 - San Martín,2,1.7780496353749784e-05,0.0027578599007170436,0,0,Correcto
6111 - Universidades – CityU,1,1.4418691459612535e-05,0.0,1,1,Correcto
7113 - Santa Isabel,2,1.8566987671528518e-05,0.0010112152969295827,0,0,Correcto
3012 - Suba - Calle 95,1,1.4443244341577254e-05,0.0,1,1,Correcto
12000 - Puente Aranda,2,3.127571558557018e-05,0.005515719801434087,0,0,Correcto
9101 - Quiroga,2,2.7691164287792666e-05,0.0027578599007170436,0,0,Correcto
3010 - Puentelargo,2,2.1568768929665245e-05,0.0033094318808604526,0,0,Correcto
10006 - San Victorino,2,2.5214959154339235e-05,0.001287001287001287,0,0,Correcto
7002 - CC Paseo Villa del Río - Madelena,2,2.468731628980522e-05,0.002482073910645339,0,0,Correcto
7503 - San Mateo - CC Unisur,1,1.3777275415888289e-05,0.0,1,1,Correcto
7003 - Sevillana,2,2.851675336882756e-05,0.0029417172274315132,0,0,Correcto
3013 - Rionegro,2,1.6717678586971665e-05,0.0020224305938591654,0,0,Correcto
3009 - Suba - Calle 116,2,2.279008724626518e-05,0.0036771465342893914,0,0,Correcto
10010 - San Bernardo,2,3.214198466355705e-05,0.0018385732671446957,0,0,Correcto
7009 - SENA,2,2.2462251747794292e-05,0.0018385732671446957,0,0,Correcto
12004 - San Facon Carrera 22,2,2.1712199305379127e-05,0.0013789299503585218,0,0,Correcto
9003 - Socorro,1,1.403819771649466e-05,0.0,1,1,Correcto
3003 - 21 Ángeles,2,1.7586758066465053e-05,0.0027578599007170436,0,0,Correcto
9115 - Calle 34,2,3.7449984912206995e-05,0.0036771465342893914,0,0,Correcto
7004 - Venecia,2,2.9912894912592897e-05,0.0032175032175032177,0,0,Correcto
7000 - Portal Sur - JFK Coop. Financiera,2,1.9386568400718776e-05,0.0010112152969295827,0,0,Correcto
